"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 30 18:39:33 GMT 2024","Mon Sep 30 18:39:40 GMT 2024","6736","firefox","reset-password.spec.js","Reset password check","","","should reset password",""
"passed","Mon Sep 30 18:39:25 GMT 2024","Mon Sep 30 18:39:32 GMT 2024","6886","firefox","register.spec.js","Register check","","","should register",""
"passed","Mon Sep 30 18:39:13 GMT 2024","Mon Sep 30 18:39:16 GMT 2024","3043","chromium","search.spec.js","Search check","","","should check search results",""
"passed","Mon Sep 30 18:39:48 GMT 2024","Mon Sep 30 18:39:53 GMT 2024","5791","firefox","sign-out.spec.js","Sign out check","","","should log out",""
"passed","Mon Sep 30 18:39:00 GMT 2024","Mon Sep 30 18:39:06 GMT 2024","5426","chromium","register.spec.js","Register check","","","should register",""
"passed","Mon Sep 30 18:39:20 GMT 2024","Mon Sep 30 18:39:25 GMT 2024","4618","chromium","sign-out.spec.js","Sign out check","","","should log out",""
"passed","Mon Sep 30 18:40:23 GMT 2024","Mon Sep 30 18:40:29 GMT 2024","6013","webkit","sign-out.spec.js","Sign out check","","","should log out",""
"passed","Mon Sep 30 18:39:54 GMT 2024","Mon Sep 30 18:40:05 GMT 2024","10700","webkit","register.spec.js","Register check","","","should register",""
"passed","Mon Sep 30 18:39:43 GMT 2024","Mon Sep 30 18:39:48 GMT 2024","4725","firefox","sign-in.spec.js","Sign in check","","","should log in",""
"passed","Mon Sep 30 18:39:16 GMT 2024","Mon Sep 30 18:39:20 GMT 2024","3951","chromium","sign-in.spec.js","Sign in check","","","should log in",""
"passed","Mon Sep 30 18:40:18 GMT 2024","Mon Sep 30 18:40:23 GMT 2024","5116","webkit","sign-in.spec.js","Sign in check","","","should log in",""
"passed","Mon Sep 30 18:39:07 GMT 2024","Mon Sep 30 18:39:13 GMT 2024","5832","chromium","reset-password.spec.js","Reset password check","","","should reset password",""
"passed","Mon Sep 30 18:40:07 GMT 2024","Mon Sep 30 18:40:14 GMT 2024","7399","webkit","reset-password.spec.js","Reset password check","","","should reset password",""
"passed","Mon Sep 30 18:39:40 GMT 2024","Mon Sep 30 18:39:43 GMT 2024","3150","firefox","search.spec.js","Search check","","","should check search results",""
"passed","Mon Sep 30 18:40:14 GMT 2024","Mon Sep 30 18:40:18 GMT 2024","3895","webkit","search.spec.js","Search check","","","should check search results",""
